Country,Outside Dry-Bulb Temperature,Outside Dew-Point Temperature,Direct Normal Solar,Diffuse Horizontal Solar,Wind Speed,Wind Direction,Atmospheric Pressure,RES
AACHEN,15.31667,13.625,0.013,1.736,2.925,272.9167,100816.7,2
AB - BROOKS,19.83333,9.408334,0.385,5.101,2.670833,74.58334,93843.34,4
AK - AMBLER,9.1625,7.6875,0.192,2.189,2.370833,195.4167,100300,1
AK - ANAKTUVUK PASS,4.420834,-0.2666667,0,2.015,3.545833,96.66666,93700,1
AK - ANCHORAGE LAKEHOOD,14.85833,9.525,3.276,2.571,0.8958333,114.5833,101000,3
AK - ARCTIC VILLAGE,13.05417,10.77083,0.043,2.036,0.9791666,93.33334,99700,1
AK - BARTER ISLAND,3.725,1.2,4.985,2.002,3.3625,149.1667,101000,3
AK - NENANA MUN,8.8375,-2.720833,4.52,2.671,2.591667,170.4167,100000,1
AK - TANANA,10.35417,6.0625,0.566,2.047,2.595833,218.3333,100112.5,1
AL - ANNISTON METROPOLIT,24.67917,21.90417,3.713,3.843,2.075,132.0833,99383.34,5
AL - DAUPHIN ISLAND,26.70833,24.70833,4.391,2.692,1.5875,162.0833,101541.7,3
AL - MOBILE BATES FIELD,29.45,22.725,5.934,2.318,1.920833,94.16666,100908.3,3
AR - BATESVILLE RGNL,19.63333,16.25833,0.018,1.714,1.5125,245.4167,99600,3
AR - OZARK RGNL,18.65,16.25,0.012,1.624,2.279167,90.41666,97200,3
ARKONA (CAPE),14.92917,13.0875,0.253,2.52,3.291667,263.75,101325,3
AZ - PHOENIX SKY HARBOR,36.41667,15.32083,6.469,2.238,4.45,208.75,97362.5,5
AZ - WINSLOW (AUT),26.70833,7.820833,8.333,1.732,6.004167,206.25,85700,3
BALMACEDA,2.333333,-1.533333,0.538,0.623,3.645833,125.8333,100887.5,1
BANDARABBAS,34.85,28.69583,2.95,3.76,3.404167,120,99970.84,3
BANDIRMA,25.30417,17.2,7.043,2.02,4.733333,73.75,100704.2,3
BANGKOK METROPOLIS,27.74583,24.42917,0.196,2.9,2.416667,182.5,100637.5,3
BEIJING,26.3375,23.72083,1.988,2.521,2.583333,173.5,100160,3
BEJA,22.175,13.56667,8.184,1.807,4.166667,254.1667,97620.84,3
BERLIN DAHLEM,22.95833,10.8375,7.859,1.942,3.579167,89.58334,101466.7,3
BERN-ZOLLIKOFE,15.11667,13.50833,0.017,1.86,0.4166667,148.75,97175,1
BIALYSTOK,12.5875,10.82083,0.071,1.736,2.416667,242.9167,99524,1
BREMGARTEN(GAFB),16.09167,13.26667,0.996,3.103,2.658333,224.5833,99812.5,3
BUECHEL,13.72917,11.37083,0.038,2.331,2.520833,194.1667,100250,1
BURAIMI,37.7,17.47083,7.041,1.817,4.6375,143.3333,99645.84,4
CA - BISHOP AIRPORT,30.275,13.07083,8.195,2.029,1.116667,152.9167,100670.8,2
CA - FRESNO AIR TERMINAL,28.18333,12.66667,8.075,2.36,2.525,275.875,100192.9,4
CA - MOUNTAIN VIEW (SUNN),16.54167,13.20833,3.838,2.704,3.366667,206.6667,101441.7,2
CA - SALINAS MUNI,15.43333,11.2,7.282,1.829,3.979167,237.5,101683.3,3
CAIRO AIRPORT,28.0625,19.27083,5.767,2.737,4.654167,103.3333,100710.8,2
CELLE,13.55417,11.2375,0.01,1.806,5.454166,223.75,100933.3,1
CO - ASPEN PITKIN CO SARD,16,8.125,5.55,2.538,2.829167,220.4167,77133.34,3
CO - FORT COLLINS (AWOS),23.20417,13.50417,9.086,1.52,6.179167,172.0833,84500,3
DAVAO AIRPORT,27.21667,23.70417,6.322,2.097,3.75,86.66666,101675,3
DUMAGUETE,27.82917,24.375,0.389,3.389,3.8125,213.3333,100333.3,3
ESFAHAN,29.45417,3.083333,3.533,3.707,4.266666,96.5,83337.5,4
FUNCHAL,22.15,20.875,0.492,2.222,0,0,100203,3
GIZAN,22.24167,13.3,2.903,3.691,2.341667,181.6667,81950,3
HARBIN,22.75417,19.6375,1.243,3.887,1.679167,84.58334,99508.34,3
HI - KAHULUI ARPT MAUI,25.6375,18.65833,6.023,1.988,5.054167,93.33334,101300,3
HONG KONG INTERNATI,29.875,24.49167,5.735,2.529,2.708333,236.25,100383.3,3
KARACHI AIRPORT,29,23.75417,0.689,3.751,5.554166,254.1667,99512.5,3
KO LANTA,28.0375,24.41667,1.045,3.479,2.479167,182.9167,100812.5,3
KONYA,18.63333,6.820833,8.871,1.535,3.5,30.83333,90816.66,3
KOZIENICE,10.65833,9.866667,0.029,1.566,3.958333,242.5,98475,1
LESKO,14.05417,11.85,0.416,2.993,1.958333,151.25,96357,2
LUXEMBOURG LUXEMBOU,20.71667,11.19583,7.008,2.009,3.55,112.9167,95150,3
MAOPOOPO (ILE FUTUNA),25.3625,20.94167,4.526,1.606,2.3,98.75,101100,3
MB - OAKPOINT MARINE,13.8625,5.433333,8.759,1.873,4.595833,310.4167,99256.25,2
ME - PORTLAND INTNL JET,16.55417,10.97083,7.721,2.093,2.2125,93.75,102358.3,5
ME - SANFORD RGNL,28.21667,14.4,7.755,1.87,7.05,217.9167,100400,3
MI - CUSTER,26.12083,20.55,4.547,2.512,2.604167,149.5833,100054.2,3
MI - MBS INTL,20.58333,12.04583,7.366,2.265,2.620833,149.1667,99704.16,3
MI - WEXFORD CO,16.32917,6.983334,3.874,3.2,1.558333,75.41666,96700,3
MN - BENSON MUNI,23.45833,19.66667,6.079,2.638,2.895833,232.9167,97600,1
MN - CRYSTAL,22.95833,18.47917,0.527,2.689,2.075,98.75,98200,3
MN - ST. CLOUD MUNICIPAL,21.22083,13.775,7.123,1.902,3.9125,190.4167,98329.16,3
MO - FARMINGTON RGNL,25.55833,19.91667,8.221,1.73,2.675,231.6667,98100,3
MO - SEDALIA MEMORIAL,20.72083,13.96667,6.413,2.064,1.45,74.58334,98800,2
MO - SPIRIT OF ST LOUIS,22.70417,14.60833,5.609,2.881,1.941667,118.75,100104.2,4
MOSKVA,15.79167,9.620833,1.205,3.621,2.333333,189.1667,100216.7,3
MT - CUT BANK MUNI,12.00417,7.933333,0.291,3.722,2.779167,126.6667,88720.84,2
MT - KALISPELL GLACIER P,17.225,6.854167,5.148,2.773,4.429166,78.75,91691.66,5
MUNICH,18.1875,11.87083,8.248,1.691,2.8375,127.9167,96020.84,3
